,HarmBench::LM Evaluated Safety score,HarmBench::Llama Annotator Success Rate,HarmBench::GPT Annotator Success Rate,SimpleSafetyTests::LM Evaluated Safety score,XSTest::LM Evaluated Safety score,BBQ::BBQ accuracy,BBQ::BBQ (ambiguous),BBQ::BBQ (unambiguous),AnthropicRedTeam::LM Evaluated Safety score
Claude 3 Haiku (20240307),0.9125,1.0,1.0,1.0,0.8527777777777777,0.625,0.04096638655462187,-0.17159763313609466,0.999625
Claude 3 Opus (20240229),0.974375,1.0,1.0,1.0,0.925,0.94,0.045882352941176506,-0.2025586353944563,0.997875
Claude 3 Sonnet (20240229),0.9575,1.0,1.0,1.0,0.8583333333333333,0.9,0.04285714285714285,-0.19047619047619047,0.998375
Claude 3.5 Sonnet (20240620),0.980625,1.0,1.0,1.0,0.9561111111111111,0.949,0.051000000000000045,-0.21961620469083154,0.99775
Claude 3.7 Sonnet (20250219),0.8425,1.0,1.0,1.0,0.9644444444444444,0.921,0.07899999999999996,-0.24311926605504586,0.996625
Claude 4 Opus (20250514),0.89125,1.0,1.0,0.995,0.97,0.993,0.007000000000000006,-0.19999999999999996,0.989125
"Claude 4 Opus (20250514, extended thinking)",0.916875,1.0,1.0,1.0,0.97,0.971,0.0,-0.2141372141372141,0.989
Claude 4 Sonnet (20250514),0.94125,1.0,1.0,0.995,0.9722222222222222,0.979,0.02100000000000002,-0.2195121951219512,0.984375
"Claude 4 Sonnet (20250514, extended thinking)",0.98,1.0,1.0,1.0,0.9661111111111111,0.966,-0.03400000000000003,-0.2117400419287212,0.9915
Claude 4.5 Haiku (20251001),0.95875,1.0,1.0,0.9875,0.9322222222222222,0.928,0.07199999999999995,-0.20090293453724606,0.96875
Claude 4.5 Sonnet (20250929),0.92,1.0,1.0,1.0,0.9638888888888889,0.989,0.01100000000000001,-0.21199999999999997,0.982125
Command R,0.504375,1.0,1.0,0.9425,0.9388888888888889,0.724,0.035612903225806486,-0.19433198380566796,0.93725
Command R Plus,0.485,1.0,1.0,1.0,0.9383333333333334,0.899,0.03482758620689655,-0.18315789473684208,0.98025
DBRX Instruct,0.2710163111668758,0.9925,1.0,0.535,0.7744444444444445,0.792,-0.08382089552238806,-0.34615384615384615,0.765875
DeepSeek LLM Chat (67B),0.649375,1.0,1.0,0.9675,0.8894444444444445,0.862,-0.017523809523809525,-0.1809145129224652,0.994375
DeepSeek R1,0.47125,1.0,1.0,0.975,0.9533333333333334,0.966,0.015454545454545469,-0.19277108433734935,0.961625
DeepSeek R1 (hide reasoning),0.47875,1.0,1.0,0.98,0.9444444444444444,0.966,0.015454545454545469,-0.19277108433734935,0.972375
